user;waktu;Sentimen;lokasi;komentar
Ainun Najib;10 bulan lalu;Positif;bukit tinggi daramista;Luar biasa
All Sido;11 bulan lalu;Positif;bukit tinggi daramista;Wisata bukit tinggi daramiata tempat yang cocok bagi penikmat wisata alam dengan keindahan pemandangan alamnya
Ardi Anis123;11 bulan lalu;Positif;bukit tinggi daramista;Alhamdulillah jualan saya selama ini berjalan dengan lancar, dan semuga kedepanya makin lancar, amin
salman al farisi;11 bulan lalu;Negatif;bukit tinggi daramista;Tidak terawat
Isma Wati;2 bulan lalu;Positif;bukit tinggi daramista;???? …
Fitari;2 tahun lalu;Positif;bukit tinggi daramista;Mski smpt hujan wkt dtg,tp ttp setia nunggu hujan smp reda.dan itu smua tdk mengurangi keindahan yg disuguhkan di tempat ini mski dlm keadaan basah kondisix???? …
Faridatuz Zakiyah (Zakya);2 tahun lalu;Positif;bukit tinggi daramista;Bagus sekali tempatnya. Semoga menjadi wisata berkah tur mashlahah.
Agung Dian;2 tahun lalu;Negatif;bukit tinggi daramista;Jelek tidak terawat. Toiletnya jorok dan bau. Jalan akses menuju lokosi sempit. Tolong lebih di perhatikan lagi untuk tanamannya di siram. Sudah kering dan tidak terawat
Just Skip;2 tahun lalu;Negatif;bukit tinggi daramista;"tiket masuk : 15K

kondisi kurang terawat. entah karena apa. seakan sudah tak lagi diperhatikan keadaannya."
Erha Agustina;2 tahun lalu;Positif;bukit tinggi daramista;Walau naiknya bikin keringat meleleh tapi spot fotonya oke banget
Nugraha Yana;2 tahun lalu;Positif;bukit tinggi daramista;"Disuguhi pemandangan yang indah diatas bukit, cuma managemen pariwisatanya kurang bagus, disarankan bawa makanan minuman dari rumah.
Parkir 5k. Tiket masuk 15k."
Andi Kuadrat;2 tahun lalu;Positif;bukit tinggi daramista;Tempatnya enak, sejuk, jalan aksesnya sudah OK
IYAN DRT;2 tahun lalu;Positif;bukit tinggi daramista;Inilah desa saya dan wisata saya di bukit tinggi daramista,  mantap guys
afukaja mahfudz;2 tahun lalu;Positif;bukit tinggi daramista;"buat rekan yang berkunjung ke wisata boekit tinggi
barangkali ada yang butuh genteng karang penang hubungi langsung wa saya"
UNIBA_NURUL FADHILAH;2 tahun lalu;Positif;bukit tinggi daramista;Udaranya sejuk, tempatnya bersih, bagus untuk foto-foto, harga terjangkau, akses jalannya juga gampang
Aredar TV;2 tahun lalu;Positif;bukit tinggi daramista;Tempatnya nyaman, indah dan recomen lah pokoknya, asli ga nyesel dateng kesitu
Annisa sofiana;2 tahun lalu;Positif;bukit tinggi daramista;"Tiket lumayan murah
Ada beberapa tempat swafoto yang bagus.
Siapkan tenaga extra jika membawa anak kecil. …"
Ridho Hardiansyah;2 tahun lalu;Positif;bukit tinggi daramista;"Pemandangan bagus tapi agak terhalang pohon2 yang besar di depannya.
Harga tiket cukup mahal, dan masih terkena biaya parkir.
Wahana dan tempat foto sudah bagus dan bervariasi.
Overall bagus... Mantap..."
Firdausiy;2 tahun lalu;Positif;bukit tinggi daramista;Sepertinya masih dalam proses pengembangan, tapi sudah sangat representatif buat foto-foto. Banyak spot unik dan menarik.
Mas Irwan;2 tahun lalu;Negatif;bukit tinggi daramista;"Tiket nya kemahalan 15 ribu walaupun bnyak gk ad bonos nya
Jaga loket nya gk ramah
Nyesel …"
Abu Mihaza;2 tahun lalu;Positif;bukit tinggi daramista;tempat wisata alam areal perbukitan, bisa melihat keindahan kota dimalam hari
badriyah khoiriyah;2 tahun lalu;Positif;bukit tinggi daramista;"Alasan bagaimananya saya tidak tau ...
Tetapi saya sangat menyukainya . Dan untuk lokasi sangat juga melelahkan karna terbilang jauh. Namun tempatnya tidak usah di ragukan lagi"
Nadyah Triasakti;2 tahun lalu;Positif;bukit tinggi daramista;"Eman g terawat
Ga ada org jualan minum ?? …"
Rosy Eros;2 tahun lalu;Positif;bukit tinggi daramista;Bagus sekali
Winardi Nonik;2 tahun lalu;Negatif;bukit tinggi daramista;Tiket terlalu mahal  kurang terawat jalananya licin
Riski Kiki;2 tahun lalu;Negatif;bukit tinggi daramista;Terlalu mahal untuk destinasi wisata yg hanya seperti itu
Raka Wati55;2 tahun lalu;Positif;bukit tinggi daramista;Pernah kesana 4tahun lalu.. Dan tempatnya menakjubkan.
Imam buhori Moyshi daramista;2 tahun lalu;Positif;bukit tinggi daramista;Bagus dan bisa lihat pemandangan
ROSSY 46 (Rossy);2 tahun lalu;Positif;bukit tinggi daramista;Lumayan bagus pemandangannya
20-073 Syafiqurrahman;2 tahun lalu;Positif;bukit tinggi daramista;Bukit tinggi?? …
johan oke;2 tahun lalu;Positif;bukit tinggi daramista;Keren... Asyik, seru, menyenangkan
RIRI 27;2 tahun lalu;Positif;bukit tinggi daramista;Bagus, tapi kurang perawatan
Alfiani Syafarina;2 tahun lalu;Positif;bukit tinggi daramista;bagus
Ega 95;2 tahun lalu;Positif;bukit tinggi daramista;Tempatnya bagus dan bersih
Affandi Ubala;2 tahun lalu;Positif;bukit tinggi daramista;Wisata kebanggaan daramista lenteng sumenep
alvin yeremia;2 tahun lalu;Positif;bukit tinggi daramista;Mohon dilakukan pemeliharaan ulang
Mengejar Matahari;2 tahun lalu;Positif;bukit tinggi daramista;Wisatane orang orang sumenep
Yaser Arafat;2 tahun lalu;Positif;bukit tinggi daramista;Bagus tapi kotor
Duta central Scaffolding;2 tahun lalu;Positif;bukit tinggi daramista;Pemandangannya bagus
Tibul Umam;2 tahun lalu;Positif;bukit tinggi daramista;karna sangat bguss
Batik Sakera;2 tahun lalu;Positif;bukit tinggi daramista;Bagus...
Dian Dian;2 tahun lalu;Positif;bukit tinggi daramista;bagus
Thomas Serhalawan;2 tahun lalu;Positif;bukit tinggi daramista;Bagussa
Didid Supramono;2 tahun lalu;Positif;bukit tinggi daramista;Romantis
Diraf Back;2 tahun lalu;Positif;bukit tinggi daramista;Sip
Ners Syamsi;2 tahun lalu;Positif;bukit tinggi daramista;Bagus
Brilyan Satria;2 tahun lalu;Positif;bukit tinggi daramista;"Tempat yang luar biasa untuk menghirup udara segar, atau hanya untuk berfoto bersama keluarga dan teman.
sangat murah untuk memasuki tempat ini. dan manajemen harus ditingkatkan."
Aldo Hidayat;2 tahun lalu;Positif;bukit tinggi daramista;Bukit yang sejuk dan sejuk ?? …
Data Base;2 tahun lalu;Positif;bukit tinggi daramista;Ini adalah tempat yang bagus di mana Anda dapat menyembuhkan dan mengambil oksigen segar. Karena naik bukit dengan pemandangan yang bagus, terutam …
Rizki Rini;2 tahun lalu;Positif;bukit tinggi daramista;Pemandangan yang sangat sejuk dengan panorama alam yang indah
Arichi Reyji;2 tahun lalu;Positif;bukit tinggi daramista;Tempat Guud .. Sangat bagus untuk berburu  …
Wongso Suhendro;2 tahun lalu;Positif;bukit tinggi daramista;Pemandangan alam …
Wawan FX Multimedia;2 tahun lalu;Positif;bukit tinggi daramista;Josh
Zubair Mahbubi;2 tahun lalu;Positif;bukit tinggi daramista;Tempat yang indah
Ach Baidhawi;3 bulan lalu;Negatif;bukit tinggi daramista;Kondisinya gak terawat jelas hutan banget jadinya
Yakub Herianto;3 tahun lalu;Positif;bukit tinggi daramista;Tidak jauh dari kota Sumenep. Pemandangan dari atas bukit, dan ada spot foto dengan latar lembah yg luas.
Alviansyah Thahir;3 tahun lalu;Positif;bukit tinggi daramista;Bagus,asyik,rekomended dech.cuma panas bgt klo siang2,perlu tambahan fasilitas lg biar tmbh menarik
I am;3 tahun lalu;Positif;bukit tinggi daramista;"Actually not really bad...
tiket masuknya 15k dan anda bisa menikmati keindahan alam pedesaan dan spot foto yang menarik."
Ika Wandari;3 tahun lalu;Positif;bukit tinggi daramista;Destinasi wisata yg satu ini patut diperhitungkan. Posisinya yg berada dibukit memanjakan pengunjung dg pemandangan alam yg menarik. Disana juga disediakan spot2 menarik untuk selfie maupun wefie. Mulai dari taman bunga, rumah kurcaci, rumah pohon, flying fox dan banyak lagi yg lain yg pastinya unik dan menarik
Bisyri Imam;3 tahun lalu;Positif;bukit tinggi daramista;"panorama sangat bagus terutama sore
akses jalan kurang lebar"
Kurliyadi khuzaimah;3 tahun lalu;Positif;bukit tinggi daramista;Begitu bersih dan memukau, sungguh indah ciptaanmu Allah SWT
Meita Fitriyanti;3 tahun lalu;Positif;bukit tinggi daramista;"Lumayan Uji adrenalin klo menuju ke sini Apa lagi pulangnya ????????
(Khusus yang bawa mobil harap hati2) karna jalan Sempit …"
abd majid;3 tahun lalu;Negatif;bukit tinggi daramista;Fasilitasnya kurang memadai, padahal biaya masuk sudah bisa dibilang cukup mahal
lailiya rohmah;3 tahun lalu;Positif;bukit tinggi daramista;Panas sih tapi disini banyak spot foto yg intagrameble bgt
AN dhana;3 tahun lalu;Positif;bukit tinggi daramista;Keren buat foto, untuk mengabadikan moment kebersamaan
top ten;3 tahun lalu;Positif;bukit tinggi daramista;Tiket masuk murah
Muslimah Ahsan;3 tahun lalu;Positif;bukit tinggi daramista;Ini aing datengnya emang rada sore dan malem jumat jadi ya sepi bangettt
Andrew E. Kurzt;3 tahun lalu;Positif;bukit tinggi daramista;tenang dan sejuk di daerah yang katanya panas. jika anda mencari kesejukan dan ketenangan di tengah teriknya matahari, mau menikmati semilir angin yang membawa kesejukan di daerah yang panas disini tempatnya. fasilitas cukup. untuk self …
Rahmat Hidayat;3 tahun lalu;Positif;bukit tinggi daramista;Bagoes tempatx....apalagi tambah malam tambah bagoes
Maulidiyah Anwar;3 tahun lalu;Positif;bukit tinggi daramista;Cocok buat kalian para remaja,ibu²,bapak² yg suka berselfie maupun berwefie. Tpi,bagi kalian yg inigin kesini,lebih baik masuk kesininya sore menjelang malam serta tidak kepanasan. Karna bagus dg melihat pemandangan kabupaten² sumenep.
Ika Nur Noviyanti;3 tahun lalu;Positif;bukit tinggi daramista;Pemandangannya bagus, spot2 selfinya jg oke, perlu ditingkatkan perawatannya saja terutama kebersihan toiletnya.
Akhmad Sahrullah Fadli;3 tahun lalu;Positif;bukit tinggi daramista;"Perlu perhatian lebih dari pemerintah setempat, terkait infrastruktur yang harus dibenanhi dan dilengkapi, safety dan lahan parkir...
Semoga bisa berkembang lebih baik lagi..."
Achmad Wasiludin (Wasil);3 tahun lalu;Positif;bukit tinggi daramista;"Buat teman-teman traveller dan holidayer, tempat ini jadi salah satu tempat rekom buat temen"" yang suka menikmati udara ketinggian ini tempatnya. Buat temen"" yg belum tau, Boekit Tinggi daramista ini tempatnya ada di Kab. Sumenep, Madura. …"
Tio Dwiki;3 tahun lalu;Positif;bukit tinggi daramista;Bagus untuk foto2 namun masih kurang luas wilayahnya masih perlu ditambahkan juga wahana far lebih menarik
SiSyiro J;3 tahun lalu;Positif;bukit tinggi daramista;Tempat yang perlu peejuangan untuk dikunjungi. Namun viewnya keren. Kami datamg tengah hari bolong, klo malem mungkin lebih keren, dengan gemerlap lelampu di kejauhab.
Mohammad Fawaz Farhan;3 tahun lalu;Positif;bukit tinggi daramista;Lokasi yang mudah dijangkau meski harus lumayan mendaki dan melewati jalan kecil berkelok. Tempatnya indah dan asri.
Firmansyah Abya;3 tahun lalu;Positif;bukit tinggi daramista;Bagus pemandangannya
A Mughnii (tukang ulin);3 tahun lalu;Positif;bukit tinggi daramista;"tempat yg cocok buat ngadem dan selfi ria..
karna banyak view foto keren ."
Fathur Ahmad;3 tahun lalu;Positif;bukit tinggi daramista;Keren, bagus, dan pemandangan nya indah. Namun gak ada kamar mandi atauu WC nya
Makemming Chanel;3 tahun lalu;Positif;bukit tinggi daramista;Keren dan recommended banget dah
Ryuuzaki Nozomi;3 tahun lalu;Positif;bukit tinggi daramista;Tempat yang cocok untuk berfoto foto ria dan menikmati sejuknya angin
Adjie Harun;3 tahun lalu;Positif;bukit tinggi daramista;Tempat ini enak, nyaman dan tenang... Tp rasanya kurang profesional dlm layanan dan kebersihan..
Moh. Rasyidi;3 tahun lalu;Positif;bukit tinggi daramista;Tempatnya kurang terpublish. Karna ada dipedesaan dan jalannya lumayan jauh dari jalan raya
Moh Idris;3 tahun lalu;Positif;bukit tinggi daramista;Pengen kesini lagi.... Dulu tahun 2017 masih jelek sekarang indahnya mantep banget... Kayak ada di Brazil???? …
Studio Fennd;3 tahun lalu;Positif;bukit tinggi daramista;Bukit tinggi adalah wisata kampung kami yang bernuansa islami dan beraneka ragam tanaman bunga
Muhammad Rikhan;3 tahun lalu;Positif;bukit tinggi daramista;Sayang tdk terawat, apabila dirawat akan terlihat lebih bagus lagi
Rosy Asliandra;3 tahun lalu;Positif;bukit tinggi daramista;Mantap sudah... Enak buat nongkrong bareng kolega dan keluarga
lila novita;3 tahun lalu;Positif;bukit tinggi daramista;Kereenn
LAGIONO SPD;3 tahun lalu;Positif;bukit tinggi daramista;Menyenangkan sebuah bukit yg indah...perlu perbaikan banyak..
ataraxia q;3 tahun lalu;Positif;bukit tinggi daramista;Lumayan bagus, tp seperti kurang terpelihara
zaen al-ghifari ibnu muhammad;3 tahun lalu;Positif;bukit tinggi daramista;Nyaman sejuk. Semoga kedepan lebih baik
Nila Aunillah;3 tahun lalu;Positif;bukit tinggi daramista;Mayan lah ya setidaknya ada wisata di daerah situ
eva fitriyatul khomsiyah;3 tahun lalu;Positif;bukit tinggi daramista;Suka bangettt banyak sport selfie nya
Abdy Sukur Elmasumi;3 tahun lalu;Positif;bukit tinggi daramista;Indah sekali, tempat paling pas buat tomantisan
Fandy Fandykaconk;3 tahun lalu;Positif;bukit tinggi daramista;Pemandangan yang sangat bagus dan alami
Nur Fadhilah;3 tahun lalu;Positif;bukit tinggi daramista;Pemandangan yg indah dari atas bukit
Ilham Firmansyah;3 tahun lalu;Positif;bukit tinggi daramista;Tempat wisata yg keren
Vay Su;3 tahun lalu;Negatif;bukit tinggi daramista;Tempatnya kotor kurang perawatan
Yuli Astuti;3 tahun lalu;Positif;bukit tinggi daramista;Menyenangkan
Lasnah Lafifah;3 tahun lalu;Positif;bukit tinggi daramista;Spot buat foto2 banget
dek aira;3 tahun lalu;Positif;bukit tinggi daramista;tempat istimewa bersama orang yang istimewa
arif alam;3 tahun lalu;Positif;bukit tinggi daramista;Semakin keren saja
Revian Tri Pamungkas;3 tahun lalu;Positif;bukit tinggi daramista;Bagus pemandangannya
wahyu abadi;3 tahun lalu;Positif;bukit tinggi daramista;Bagus,indah panoramanya
ASEP SUDRAJAT;3 tahun lalu;Negatif;bukit tinggi daramista;Tiketnya lumayan mahal
waek - r425;3 tahun lalu;Positif;bukit tinggi daramista;Senja, Pemandangan alam yg cantik
indra wahyudi;3 tahun lalu;Positif;bukit tinggi daramista;Bagus sekali
M Fandari;3 tahun lalu;Positif;bukit tinggi daramista;Indahnya berlibur
Naila nur Qoriany;3 tahun lalu;Positif;bukit tinggi daramista;Terbaik
Fefen Rambo;3 tahun lalu;Positif;bukit tinggi daramista;Tempatnya indah sekali
ACH KHOZIN AL ASROR, S.T.;3 tahun lalu;Positif;bukit tinggi daramista;Mantap bagus
Abu Faqih Mukhtar;3 tahun lalu;Positif;bukit tinggi daramista;Lumayan..
Tatun Wiyanto;3 tahun lalu;Positif;bukit tinggi daramista;Mantap indaah
Rofek Barong;3 tahun lalu;Positif;bukit tinggi daramista;Tempatnya bagus
Sunday Nema;3 tahun lalu;Positif;bukit tinggi daramista;lumayan lah....
Lushi San;3 tahun lalu;Positif;bukit tinggi daramista;Terlalu biasa ?? …
tukang post;3 tahun lalu;Positif;bukit tinggi daramista;Pelayanan puas
Setiawan Alvaro;3 tahun lalu;Positif;bukit tinggi daramista;Siip
Dewi Purnamasari;3 tahun lalu;Positif;bukit tinggi daramista;Baik
32_ Fatihatur;3 tahun lalu;Positif;bukit tinggi daramista;Mantulll
Muafiko Is Back;3 tahun lalu;Positif;bukit tinggi daramista;Unik
Ahmad Mahrus;3 tahun lalu;Positif;bukit tinggi daramista;siap
Andre Eka;3 tahun lalu;Positif;bukit tinggi daramista;Bagus
Dika K-Popers;3 tahun lalu;Positif;bukit tinggi daramista;Bagus
Murgen official;3 tahun lalu;Positif;bukit tinggi daramista;Bagus
Aldo Tobing;3 tahun lalu;Positif;bukit tinggi daramista;Tempat yan …
Anton Setiawan;3 tahun lalu;Positif;bukit tinggi daramista;tempat yang indah di sumenep madu …
Biel Wiridana;3 tahun lalu;Positif;bukit tinggi daramista;Bagus se …
Kamil Lesmana;3 tahun lalu;Positif;bukit tinggi daramista;Seeeeepp …
Ryu Chi;3 tahun lalu;Positif;bukit tinggi daramista;Bagu …
bama hidayanto;3 tahun lalu;Positif;bukit tinggi daramista;Ding …
Syaiful Hidayatullah;3 tahun lalu;Positif;bukit tinggi daramista;Cantik
Fika Hasri;4 bulan lalu;Negatif;bukit tinggi daramista;Tempatnya sudah terbengkalai. Banyak rerumputan yg tak terawat, banyak spot2 yg rapuh, jadi resiko jatuh, seperti spot jembatan2 menuju ke love dan rumah pohon sudah rusak dan reot. Sepeda gantungnya sdah berkarat dan tidak beroperasi lagi, …
Naufal El Fany;4 bulan lalu;Positif;bukit tinggi daramista;???? …
Sirajul Munir;4 tahun lalu;Positif;bukit tinggi daramista;Bukit Tinggi Daramista merupakan sebuah bukit yang syarat sekali dengan nuansa alam dan udaranya yang sangat sejuk. Bukit ini menyusul beberapa bukit lainnya di Pulau Madura yang telah lebih dulu menjadi pusat perhatian, diantaranya adalah …
Aulia Hanif;4 tahun lalu;Positif;bukit tinggi daramista;"Bukit Tinggi...
Iya sesuai dengan namanya posisi lokasi ini berada di perbukitan dengan ketinggian 120 mdpl. …"
Winny K.Drifiani;4 tahun lalu;Positif;bukit tinggi daramista;Sekitar 20 menit dari kota Sumenep. Jalannya bagus, bisa dilewati mobil, walau ada beberapa track yang agak naik turun ekstrim. Spot fotonya banyak banget dan keren2. Tiket masuknya 2 macem, ada yg Rp.5000 dan Rp.15.000. Ada flying fox sama sepeda angin juga. Worth it lha buat liburan keluarga.
Demen 6464;4 tahun lalu;Positif;bukit tinggi daramista;"Destinasi pemandangan sangat bagus apalagi kalau sore hari menjelang sunset.
Cuma utk tiket masuk ke spot selfi yg berbayar gak worth it, harganya terlalu mahal dan spotnya cuma sedikit. …"
BProject Pamekasan;4 tahun lalu;Positif;bukit tinggi daramista;"mantap guysss saya sdh 5x kesini gak pernah bosen..hehe...
rekomended pokoknya yang bagus kesini sore sampek mlm..
selain sunset anda juga bisa mengmbil foto ktika mlm lampu2 dan pwmandangan …"
Yaniec Aquarius;4 tahun lalu;Positif;bukit tinggi daramista;Bukit yang berada di ketinggian desa daramista ini cocok sekali buat tujuan yang masih bingung cari wisata di daerah sumenep. Tempat ini menyuguhi view yang indah. Kita juga bisa menikmati wahana yang tersedia di sana. Dengan biaya masuk …
pengelana maya;4 tahun lalu;Positif;bukit tinggi daramista;Tempat wisata selfi foto, bisa bersama keluarga maupun pasangan muda-mudi, kalo saya naik spot yg paling atas di tempat gazebo nya angin semilir nyaman buat istirahat dan melepas penat
Fajarwati Nurjadidah;4 tahun lalu;Positif;bukit tinggi daramista;Pemandangan nya bagus karena posisi nya di dtaran tinggi, kita di suguhkan pemandangan daratan hijau di bawahnya dan terlihat juga biru nya lautan dari atas bukit. Di bukit tinggi Sumenep ini ada gubuk-gubuk kecil terbuat dari bambu yang bisa digunakan pengunjung untuk  bersantai,istirahat, ngopi, ngobrol dan lain-lainnya.
Ach Junaedi;4 tahun lalu;Positif;bukit tinggi daramista;Refresing keluarga, jalan yg berliku dan hanya dapat di lewati 1 kendaraan, kalo siang agak panas, di sarankan sore atau pagi hari agar dapt spot foto yg bagus, jangan lupa bawa tongsis
Desi Natalia (Sita);4 tahun lalu;Positif;bukit tinggi daramista;Mantap guysss saya sdhh 5x ke sini gak pernah bosen...hehe..rekomended pokoknya tempatnya bagus guyss sore sampe malam...selain sunset anda juga bisa mengambil spot foto ketika malam2 lampu2 dan pemandangan gunung yg memanjakan mata anda …
