user;waktu;Sentimen;lokasi;komentar
Gunawan;2 bulan lalu;Positif;gili labak;Ninggalin jejak
Hidayat Hadi;2 tahun lalu;Positif;gili labak;Setelah 5 tahun kembali lagi kesini..  Banyak berubah, lebih teratur lebih INDAAAAHH pastinya lebih lebih lah..  Spot snorkeling nya juga udah best!!  Sunset dan sunrise disini tidak pernah mengecewakan..  Terimakasih TEAM WANDERER dan …
Rizky J.;2 tahun lalu;Positif;gili labak;Bagus banget sih serius. Itu laut bisa glow up kaya gitu pake skincare naon siah urang teh nyaho tapi na serius bagus banget ga boong bang. Cuma siap siap pake sunblock double ye, even ga gosong gosong amat tapi ya lumayan panasnya. Tapi …
Alifian Rizaldi;2 tahun lalu;Positif;gili labak;Pantainya cakep. Lingkungan nyaman. Cuaca panas tapi worth it karena bisa snorkling
Dede dD;2 tahun lalu;Positif;gili labak;Perjlnn cukup melelahkan,, sby kalianget kisaran 6 jam, perahu 2 jam ,, pas sampai rasa ya waw... ditenga pulau penduduk yac sedikit , makanan yac cukup …
Aditya D. Jati;2 tahun lalu;Positif;gili labak;Hati-hati, susah lupain kenangannya
Bella Belle;2 tahun lalu;Positif;gili labak;Baguss banget pulau nya, masih asri, penduduk masih sedikit, snorkeling disini bagus. Cuma agak khawatir pas nyebrang di saat hujan
Heru Zarkasyi;2 tahun lalu;Positif;gili labak;Seru
Ridho Batara;2 tahun lalu;Positif;gili labak;Hati² banyak bulu babi. Contohnya teman saya ini. Sekarang teman saya sudah menjadi babi sejati.
AL H ADI;2 tahun lalu;Positif;gili labak;Aku suka bisa berenang tapi airnya asin
Polongvs;2 tahun lalu;Positif;gili labak;Bisa snorkeling loh
Beni Sumantri;2 tahun lalu;Positif;gili labak;katanya tretan muslim disini bagus
bayuu_ nugrohoo;2 tahun lalu;Positif;gili labak;Tempatnya bagus dan bersih
Mian Miun;2 tahun lalu;Positif;gili labak;karna bagus pemandanggan ia
Khairul Anam;2 tahun lalu;Positif;gili labak;Sangat menyenangkan
luxman engking;2 tahun lalu;Positif;gili labak;Raja ampatnya jawa timur.....
Dewi Wahyuni;2 tahun lalu;Positif;gili labak;View.nya uwuwuwu
Dwi Putra;2 tahun lalu;Positif;gili labak;Mengambil satu malam berkemah di sini. Pengalaman yang tak terlupakan. Di pagi hari, Anda akan melihat air surut dan Anda bisa berjalan di atasnya. Harap berhati-hati untuk tidak menginj …
dhani widjaya;2 tahun lalu;Positif;gili labak;Salah satu pemandangan paling menakjubkan yang pernah saya rasa …
Anni Lim;3 bulan lalu;Positif;gili labak;Tempat yg indah, bersih. Butuh waktu +- 2 jam penyebrangan dengan perahu motor untuk sampai ke pulau. Lelah terbayar dengan pemandangan pantai nya.  Bawah laut juga cantik.
Anwar D Murwanto;3 tahun lalu;Positif;gili labak;Destinasi tempat wisata yg menarik, masih sepi, terawat oleh penduduk lokal dan juga semoga wisatawan ikut menjaga kebersihannya juga. Perjalanan dapat ditempuh selama 2 jam menggunakan boat dari pelabuhan kalianget, Sumenep. Pulaunya …
Ndeso Official;3 tahun lalu;Positif;gili labak;Pulaunya Sangat indah, sepi dan sunyi hanya aktivitas nelayan dari masyarakat pulau itu saja yang lalu lalang. Dan pengunjung ketika momen liburan pulau ini sangat ramai. Disini juga cocok di gunakan camp karena lokasinya juga masih luas yg …
Bagus;3 tahun lalu;Positif;gili labak;"Maldives diujung Pulau Madura.
Disarankan melakukan perjalanan sekitar Mei sampai Oktober, karena memasuki musim kemarau, cuaca cerah dan perairannya cukup tenang untuk perahu selama penyeberangan."
Gofur;3 tahun lalu;Positif;gili labak;"pantai indah di pesisir pulau kecil yang  bisa kita kelilingi tidak nyampe 1 jam dah kemput.
tapi untuk menuju lokais ini sangatlah  cukup memakan waktu, terutama dari luar …"
Adrianus Kevin;3 tahun lalu;Positif;gili labak;Pulau yang keren, bisa mengelilingi pulau hanya dengan jalan kaki karena pulaunya yang kecil, ada penduduk tetap disana, dulu tahun 2013 waktu awal saya kesana hanya kebetulan saja karena saya berniat untuk mancing bukan pergi ke pulau …
M. Fauzi Setyadi;3 tahun lalu;Positif;gili labak;Rekomendasi wisata snorkling dimana kondisi bawah airnya sangat bagus, ombak tenang, bisa foto bawah air. Di pantainya ada fasilitas seperti tempat jajan, mushola, kamarmandi dsb
Global English Pare;3 tahun lalu;Positif;gili labak;Saya Menyebut Pulau ini Surga yang Jatuh Kebumi, Pulau kecil Yang sangat indah, hanya dengan Waktu 36 menit anda bisa mengelilingi pulau ini dengan Jalan Kaki. Spot Untuk Snorkelingnya Juara, Harganya juga Murah. Keramah tamahan penduduknya membuat saya malas meninggalkan tempat ini.
Lina Anjarwati;3 tahun lalu;Positif;gili labak;Pantai yg bersih dari sampah. Membutuhkan waktu sekitar 45mnt menggunakan kapal kecil untuk menuju ke pantai gili genting. Kemudian lanjut 30mnt utk ke pantai gili labak.
Didiex Rachman;3 tahun lalu;Positif;gili labak;"Sangat indah, belum terlalu komersial, masih alami...
Perjalanan via pelabuhan kali anget naik perahu kecil sekitar 2 jam"
NENG dan AA CHANNEL;3 tahun lalu;Positif;gili labak;Keren bgt sih seurius. Pas new normal serasa punya pulau pribadi sendiri. Laut biru pasir putih....
fariha maghfiro;3 tahun lalu;Positif;gili labak;Pantai yang indah dan tempat snorkeling yang enak
Wisnu Agung Saputra;3 tahun lalu;Positif;gili labak;Tempatnya sangat nyaman untuk berlibur. serasa pulau milik pribadi. sangat kecil, pulau dapat dikelilingi kurang dari 30 menit. terdapat taman nemo dan spot untuk snorkling. Saran kalo kesini harus camp agar bisa menikmati semua keindahan yg disodorkan pulau gili labak ini
jack sparrow;3 tahun lalu;Positif;gili labak;Jangan Lupa Bahagia
Riris Zakiyyah;3 tahun lalu;Positif;gili labak;Pantainya bersih tapi panas. Harus sedia sunblosk supaya kulit tetap baik-baik saja..
Didit prasetyo;3 tahun lalu;Positif;gili labak;Pantainya sangat bersih batu karang sangat indah serta ikan nemonya sangat banyak
encep mj;3 tahun lalu;Positif;gili labak;Bagus.. top dach, cm harus lebih ditingkatkan dan dijaga kelestariannya, jg ditambah lagi pasilitas publiknya
Luciana Violita;3 tahun lalu;Positif;gili labak;Lautnya indah banget..
Hanif Rusyda;3 tahun lalu;Positif;gili labak;Salah satu keindahan ciptaan-Nya
Aulia AB;3 tahun lalu;Positif;gili labak;Tempat yang indah dan harus di lestarikan
Omponk Lyno;3 tahun lalu;Positif;gili labak;Josslahhh... Sayang masih ada beberapa orang yang enggak peduli dengan sampah!. ?? …
Abdurrozaq;3 tahun lalu;Positif;gili labak;Tempat nya indah banyak panorma yg keren
BY YONGKI ONAR “Dhuro” CHANEL;3 tahun lalu;Positif;gili labak;Indah baget lord ayo kutunggu foto2 kalian,?? …
Muhammad Ghulam;3 tahun lalu;Positif;gili labak;Ombak nya lagi gede kah ??
Kenrisaa;3 tahun lalu;Positif;gili labak;Tempat snorkeling terbaik
budi ono;3 tahun lalu;Positif;gili labak;Pasirnya putih banget
Yudha Tri;3 tahun lalu;Positif;gili labak;Udaranya segar tanpa polusi asap
Juanita Imut;3 tahun lalu;Positif;gili labak;Sepertinya menarik
SHAADH KAMAL;3 tahun lalu;Negatif;gili labak;Tempe
Cak Sob;3 tahun lalu;Negatif;gili labak;Ugalmu
MBa Official;3 tahun lalu;Positif;gili labak;Banyak kenangan
anglin maharani;3 tahun lalu;Positif;gili labak;Tempat yang bagus dan indah untuk sekedar bermain-main atau bahkan snorkeling. Pemandangannya bagus. Anda membutuhkan waktu 2 atau 2,5 jam dari Kalianget, Sumenep. Hati-hati dengan cuaca, lebih baik berangkat lebih awal untuk menyeberangi l …
Sukma Pamungkas;3 tahun lalu;Positif;gili labak;Pantai yang bersih dan putih. Pulau ini juga memiliki spot  …
Brillian Wicaksana;3 tahun lalu;Positif;gili labak;Snorkeling terbaik ada di depan pulau.. Jika snorkeling akan banyak ubur-ubur dan membuat kulit gatal.. Cicipi ikan bakar di sini..
Ferdy Ardiansyah;3 tahun lalu;Positif;gili labak;Bagus, putih, dan panas haha
Yulia Panca Sucahyono;3 tahun lalu;Positif;gili labak;Perjalananku petuala …
Agus Tri Winarso;3 tahun lalu;Positif;gili labak;Luar bi …
Ida Maslachah;4 bulan lalu;Positif;gili labak;Tempatnya masih asli, masih kurang penanganan untuk dijadikan obyek wisata.
Naufal El Fany;4 bulan lalu;Positif;gili labak;Kesan pertama di pulau ini, kereeenn
