user;waktu;Sentimen;lokasi;komentar
Khoirini Robiatul Adzawiyah;10 bulan lalu;Positif;Goa Soekarno;Harus dikunjungi
yopie franz;2 tahun lalu;Positif;Goa Soekarno;"Gua bentukan alam yang sangat menarik, indah, cantik, memukau.
Tak menyangka ruang di dalamnya begitu luas dan tidak pengap. Aliran udaranya"
the skinny feet;2 tahun lalu;Positif;Goa Soekarno;kagum karna Madura punya objek wisata yang gk kalah bagus dari goa maharani di lamongan yaitu goa soekarno, suasana di dalamnya sangat nyaman karna lumayan luas dan ada  cafe bar nya, menurut kabar  tempat kini bukan milin dinas setempat melainkan milik swasta, semoga kedepannya makin  diperbagus lagi
Jayanti Nur Fatimah;2 tahun lalu;Negatif;Goa Soekarno;Yaahh lumayaann.. meski kurang puas.. semoga kedepannya makin menarik lagii..?????? …
Moh Ahsin;2 tahun lalu;Positif;Goa Soekarno;Sangat senang mengunjungi wisata ini, sangat cocok untuk para pecinta outbound, ada permainan tembak-tembakan seru banget
Nfarida Rafa;2 tahun lalu;Positif;Goa Soekarno;Tempatnya bagus,mas guidenya juga ramah ramah
Hitchhiker Nusantara;2 tahun lalu;Positif;Goa Soekarno;"Bagus, keren, pokoknya beautifull dahhh  
Recomended babget wesaa  "
Mudmainah mudmainah;2 tahun lalu;Positif;Goa Soekarno;Cahaya merupakan rahmat dari Tuhan untuk kita semua. Tanpa cahaya, siang dan malam hanyalah hitam tanpa keindahan.
Cong Misbah Channel;2 tahun lalu;Negatif;Goa Soekarno;Lahan parkir sama akses masuk belum oke. Kalau fasilitas wisata luar biasa.
Ismalyadi Ismalyadi;2 tahun lalu;Negatif;Goa Soekarno;"Amazing Place,
Menuju lokasi seperti via kebun/hutan, dari parkiran banyak semak belukar, masuk via mulut gua yg relatif sempit. …"
Ach. Muzeyri;2 tahun lalu;Positif;Goa Soekarno;Wisata baru yang eksotis di Pulau Garam.
Hantobot Antok;2 tahun lalu;Positif;Goa Soekarno;Kami menung kiriman foto kami panitia
Emyra Uji;2 tahun lalu;Positif;Goa Soekarno;"Pernah kesana pas baru di buka, bagus.
Yang cari tempat wisata di Kab. Sampang, Goa soekarno perlu di pertimbangkan."
Syadam Bahri;2 tahun lalu;Positif;Goa Soekarno;Fasilitas oke banget.. pokoknya gak bakalan rugi kalau kesini
Egi Meigziana;2 tahun lalu;Negatif;Goa Soekarno;Obyek wisata yg menarik perlu di rawat dengan baik lagi
Dj Narkobae (Narkobae);2 tahun lalu;Positif;Goa Soekarno;Mantab sebagai sejarah buat anak cucu kita  .?????? …
prima wisnu;2 tahun lalu;Positif;Goa Soekarno;Ternyata luas guanya, berkelok2
Herman Ali;2 tahun lalu;Negatif;Goa Soekarno;Tiket masuk mahal 15000/orang
Mukhlish;2 tahun lalu;Positif;Goa Soekarno;"Luar biasa gak rugi jauh"" dari Kalimantan"
dia lovers;2 tahun lalu;Positif;Goa Soekarno;?????????? ???????????????? ?????? ?????? ???????? ?????????? ???????????? ?????? ?????? ?????? …
Bayue 012;2 tahun lalu;Positif;Goa Soekarno;Cocok untuk bersantai dengan keluarga
Muhammad Rawaris;2 tahun lalu;Positif;Goa Soekarno;Menakjubkan  . emejing ???????? …
Ajeng Riyana;2 tahun lalu;Positif;Goa Soekarno;keren dan alami
SHAKINU AJIE;2 tahun lalu;Positif;Goa Soekarno;Sangat bgus
Arief Channelku;2 tahun lalu;Positif;Goa Soekarno;Goax bgus bangetzzz
Ziyan Febrian;2 tahun lalu;Positif;Goa Soekarno;Siip
loker madura;2 tahun lalu;Positif;Goa Soekarno;Bagus
Irwan Hidayatullah;2 tahun lalu;Positif;Goa Soekarno;Goa Soekarno, salah satu tempat wisata di Sumenep, kota paling timur Pulau Madura. Sekitar satu jam dari pusat kota Sumenep dengan mobil. Harga tiket 15k per orang. Anda akan masuk ke dalam gua dan menemukan patung Bung Karno di tengah gua …
Dullah Dila;2 tahun lalu;Negatif;Goa Soekarno;Panas dluar, dingin dd …
Syaiful;2 tahun lalu;Positif;Goa Soekarno;Masjid Asmaul Husnah
In amol Aufa;2 tahun lalu;Positif;Goa Soekarno;Sinol
Speed Crew;2 tahun lalu;Positif;Goa Soekarno;Tempat yan …
holifah Mukarromah123;3 bulan lalu;Positif;Goa Soekarno;Bagus banget pemandanganya
Khoirul Musthofa;3 bulan lalu;Positif;Goa Soekarno;Kereeennnnnnnnn
Inayatul Maghfirah Agustania;3 tahun lalu;Positif;Goa Soekarno;Wisata yang cukup menarik di mana wisata Gua yang dibangun dengan sedemikian rupa desain secantik mungkin sehingga bisa menarik perhatian pengunjung. Tapi dulu waktu saya ke sana masih terbilang baru jadi ya masih ada yang belum selesai dan …
Alief Sahara;3 tahun lalu;Positif;Goa Soekarno;Tempat sangat bagus untuk pariwisata keluarga fasilitas juga lumayan lengkap suasana alami yang memanjakan mata Dan akan mempunyai spot foto untuk kedepannya yang akan di datang. Jangan sampai tidak berkunjung bisa main paintball & ATV ???? …
nilliya mega;3 tahun lalu;Positif;Goa Soekarno;Keren tempatx, htm 15k, ada cafex, jg ada live musikx?? …
soeryo Hartiningsih;3 tahun lalu;Positif;Goa Soekarno;Indahnya goa Soekarno d pasongsongan Sumenep madura.dkt rmh kami.spot foto keren.
Arlan Kianu;3 tahun lalu;Positif;Goa Soekarno;Keren banget berasa di alam lain goa suekarno nnti pengen kesana lagi ???? …
nujum1 1985;3 tahun lalu;Positif;Goa Soekarno;Tempat ini indah cuman butuh pengembangan
icha hujan;3 tahun lalu;Positif;Goa Soekarno;Keren falsilitasnya cukup mewadai so jalan-jalan kesini ga bakalan nyesel ?? …
Oyang Anteng;3 tahun lalu;Positif;Goa Soekarno;Keren dan rekomended banget tempatnya
John Sakera;3 tahun lalu;Positif;Goa Soekarno;Cocok untuk rekreasi bersama keluarga
Ros Sita;3 tahun lalu;Positif;Goa Soekarno;Seru ada live musiknya  
Kholif Azzahroh;3 tahun lalu;Positif;Goa Soekarno;"Tempatnya bagus  
Sejuk   bikin tenang  
Fasilitas di sana juga memadai.. serta ada iringin musik di sana juga yang …"
rusdi zulkarnain;3 tahun lalu;Positif;Goa Soekarno;"Goa Soekarno 'GS' apik bener dan natural.

Lokasinya ada di Kecamatan Pasongsongan (dari Jalan Raya Pasongsongan masuk …"
