user;waktu;Sentimen;lokasi;komentar
Khadijah Faqih;setahun lalu;positif ;Museum Keraton;Keraton sumenep, Satu²nya keraton di madura yg masih bisa di kunjungi, bangunan masih berdiri kokoh dan terawat, skrng ada tour ladernya, dia sngt ramah dan sngt detail penjelasannya
neny zhabil husnaeny;10 bulan lalu;Positif;Museum Keraton;Tempat bagus untuk pelajar juga keluarga. Mempelajari sejarah kerajaan sumenep. Ada tour guide yg membantu menjelaskan tentang sejarah tempat, silsilah, benda2 pusaka dll.
M. Mufid Albarazi;10 bulan lalu;positif;Museum Keraton;Suasana yang cukup cocok bagi para wisatawan yang ingin melepas rasa penat. Nuansa taman, wisata kuliner, wisata sejarah dan beberapa objek lain yang menarik.
Jonea Maska;10 bulan lalu;Positif;Museum Keraton;Saya blm pernah masuk ke dalam keraton, hanya beberapa kali lewat, tp lihat gapura nya sangat bagus sekali dan kelihatan masih sangat terawat dan original.. untuk wisata budaya sangat recommended sekali..
ayuu ayuu;10 bulan lalu;Positif;Museum Keraton;Guide sudah lanjut usia dan kurang ramah, klo bisa ganti dengan anak muda yg cantik2 dan ramah
Mochamad Andi;10 bulan lalu;positif ;Museum Keraton;Mantab
Harrie Birakha;10 bulan lalu;negatif ;Museum Keraton;Kesan pertama
Ni'am Arbotz;11 bulan lalu;Positif;Museum Keraton;Mantap bagus terawat dgn baik cagar budaya bangsa..
amin farhan;11 bulan lalu;positif ;Museum Keraton;Alhamdulillah... Walaupun Sy warga pendatang dan sdh menjadi warga Sumenep sedikit banyak tlah mengetahui Museum Keraton Sumenep.
Mulyadi Pradipta;11 bulan lalu;negatif;Museum Keraton;Lewat jalan paberasan
Faisal Hadissalam;11 bulan lalu;positif ;Museum Keraton;Terjaga kelestariannya n kebersihannya
HER ARUMAN;11 bulan lalu;negatif;Museum Keraton;Situs Berkaromah
Pipit Ilham;11 bulan lalu;positif ;Museum Keraton;Membantu mengenal sejarah kota Sumenep
Djambi Rahardjo;11 bulan lalu;Positif;Museum Keraton;Sangat indah
afan alfian;2 bulan lalu;positif;Museum Keraton;Pendopo Bupati yg bernuansa Kerajaan dengan menyajikan banyak kebudayaan lokal. Menjaga budaya dan membentengi kearifan lokal. Perlu dijadikan contoh bagi daerah lain. …
Arvand Firmansyah;2 bulan lalu;positif;Museum Keraton;Peninggalan keratonan Sumenep, masih berdiri tegak karena dijaga dengan baik.
wigit kristianto;2 bulan lalu;Positif;Museum Keraton;Museum dan Keratonnya keren, bersih dan terpelihara. Tiket masuk murah, selalu ditemani pemandu walau cuma sendirian, dan tidak ada biaya tambahan. Recommended buat pecinta sejarah. Datang kesini jangan cuma mau ambil air di taman sari atau beli ramuan madura ya, belajarlah juga sejarah Sumenep disini.
agus suwandi;2 bulan lalu;positif;Museum Keraton;Tempat dimana kita dapat mengetahui sejarah asal usul kerajaan Sumenep
Wahyu Eka Putra;2 bulan lalu;positif;Museum Keraton;Bener-bener mistical atmosphere. Membawa kita serasa kembali ke dunia masa lalu. Cuma toilet belakangnya loket gak terawat sama sekali.
CV AZKA PRESTASI;2 bulan lalu;positif;Museum Keraton;tiket dewasa 5 rb, anak 3 rb pelayanan prima, gaet menjelaskan dari museum sampai keraton dg detail
Raden Izzatul Azizah;2 bulan lalu;positif;Museum Keraton;Museum yang harus dilestarikan & dijaga agar generasi berikutnya tahu akan sejarah.
Chynta Ainur25;2 bulan lalu;positif;Museum Keraton;Tempat.a bgus bersih rekomended buat liburan akhir pekan
Galih Trans Nganjuk;2 bulan lalu;Positif;Museum Keraton;Tempatnya bagus banyak kuliner, wajib mampir kalau trip ke Sumenep
Muhammad Khoirur Roziqin;2 bulan lalu;positif;Museum Keraton;Bisa untuk wisata keluarga, bersejarah
Abdul Lo;2 bulan lalu;positif;Museum Keraton;"Seru tempat'e Nyaman Petugasnya ramah"""
Fajarisman Restu;2 bulan lalu;Positif;Museum Keraton;Bagus...
Priyo Armanto;2 bulan lalu;positif;Museum Keraton;Sejarah bes …
Yumei - TRANCEforMindSet;2 minggu lalu;positif;Museum Keraton;Patut dikunjungi, keraton pusat sejarah, museum dan pelestari adat budaya
Chandra Kartika;2 tahun lalu;positif;Museum Keraton;Keratonnya cukup luas, sejuk dengan nuansa pohon beringin tua yang tumbuh lebat dan masih perkasa. Sebagian peninggalan seperti kolam mandi para putri keraton masih ada, dengan berbagai khasiat yang dipercaya bagi siapa saja yang mencuci muka di air kolam tersebut. Sayangnya kondisi secara keseluruhan agak sedikit kurang terawat.
Ade Safitri;2 tahun lalu;Positif;Museum Keraton;Keraton sangat terawat, rekomend untuk edukasi anak2 supaya tau sejarah Tempat yg paling di sukai kolam pemandian putri disitu banyak sekali ikan2 yg sangat besar dan cantik2..
Nita;2 tahun lalu;Positif;Museum Keraton;Tempatnya bagus dan bersih. Juga tersedia banyak tempat cuci tangan. Dan wajib pakai masker. Tour guide juga ramah baik dan sabar dalam menjelaskan.. cocok untuk penikmat sejarah..
UNIBA_NURUL FADHILAH;2 tahun lalu;positif;Museum Keraton;Terletak di tengah kota, harga masuk museum 5rb aja, bisa foto-foto sepuasnya, dan ini di depan Labang Mesem waktu nganterin tamu dari Kediri.
20-073 Syafiqurrahman;2 tahun lalu;positif;Museum Keraton;Museum lengkap peninggalan keraton Sumenep
Kaidin S;2 tahun lalu;positif;Museum Keraton;Agar tetap dijaga warisan budaya dan kelestarianya?? …
DINASTY;2 tahun lalu;positif;Museum Keraton;Sejarah peradaban masyarakat Sumenep Madura masa lalu
Sunyoto Sunyoto;2 tahun lalu;positif;Museum Keraton;Bu RT waru mampir di masjid agung Sumenep
Rishallfidi Thomi;2 tahun lalu;positif;Museum Keraton;Rindang dan menenangkan
Tanti Lestarini;2 tahun lalu;positif;Museum Keraton;Berada di pusat kota Sumenep. Tiket masuk sangat terjangkau. Ada beberapa kereta kuda peninggalan jaman dulu. Untuk bagian keratonnya cukup luas. Terdapat beberapa kolam yg punya keistimewaan masing masing. …
Setiya Aris;2 tahun lalu;positif;Museum Keraton;Mantul... Warisan sejarah yang patut kita lestarikan
TUAN RAJA ALI;2 tahun lalu;positif;Museum Keraton;Untuk sebuah museum jelas barangnya kurang banget... lebih dikemas lagi biar lebih menarik... kalo perlu kerja sama dengan sekolah2 di sumenep agar siswanya di wajibkan ke museum biar ada pemasukan buat museum... biar ga terkesan pas pasan...
geri damayanto;2 tahun lalu;Positif;Museum Keraton;Bagus, sayang waktu berkunjung lagi di tutup karena pendemi...
Wonder UMMI;2 tahun lalu;positif;Museum Keraton;Tempat sangat bersih..
Inayati Inayati;2 tahun lalu;positif;Museum Keraton;Sangat senang dan kagum melihat dan mengetahui sejarah kraton sumenep. Dan harus tetap di lestarikan unk anak cucu kita dan bangsa indonesia
Harmaji Ajie;2 tahun lalu;positif;Museum Keraton;Dapat mengenal beberapa koleksi peninggalan sejarah keraton sumenep, al : kereta, mushaf Al Quran, dll
Ahktar Pragia;2 tahun lalu;positif;Museum Keraton;Pemeliharaan perlu di tingkatkan karena merupakan peninggalan dan aset wisata yang bisa mendatangkan wisatawan dari luar negeri
D. Kastriantono;2 tahun lalu;positif;Museum Keraton;Yogya nya madura, wisata budaya, alam dan  wisata kuliner.. Sumenep kerren..
Setiawan;2 tahun lalu;positif;Museum Keraton;Museum keraton sumenep merupakan tujuan wisata yang menarik di kota sumenep.. lokasi parkir yang luas dan mudah, pemandu wisata yang menjelaskan dengan jelas dan menyenangkan..
Mift Zaman;2 tahun lalu;positif;Museum Keraton;Asri, tenang, penjaganya ramah.
nounah legis;2 tahun lalu;positif;Museum Keraton;Menu makanan.nya sngat enak, rekomended bgt lah pokoknya. terutama mie goreng.nya.... bener2 bikin nagih.
CAK OZI Bandar Sepanjang;2 tahun lalu;Positif;Museum Keraton;Tempat bersejarah yang bagus Patut dikunjungi oleh generasi penerus bangsa
IKRIMAH MAULANA SISWAJI;2 tahun lalu;positif;Museum Keraton;Karena tempat ini sngat kental dengan sejarahnya
Klara as;2 tahun lalu;Positif;Museum Keraton;Bagus, heritage langka
Mochamad Shofiyudin;2 tahun lalu;positif;Museum Keraton;Tempam yang cocok untuk mengetahu budaya sumenep
Benny Andi;2 tahun lalu;positif;Museum Keraton;Tempat bersejarah dengan peninggalan leluhur yang masih terjaga
Creatif Technologies Balikpapan;2 tahun lalu;positif;Museum Keraton;Istana raja raja semenep, perlu di lestarikan, dan tempat wisata yang patut untuk di kunjungi
warsito warsito;2 tahun lalu;positif;Museum Keraton;Sayang tidak terdengar even iconik untuk mengangkat potensi wisata keraton dan sumenep
Capt Jan MMN Wowor MA MM MMar;2 tahun lalu;positif;Museum Keraton;baik untuk mengetahui sejarah dan budaya setempat ...
Mohtar Jihar;2 tahun lalu;positif;Museum Keraton;Peninggalan kerajaan Sumenep, beragam pusaka peninggalan Raja raja Sumenep sebagian ada di tempat ini.
slamet widodo;2 tahun lalu;positif;Museum Keraton;Kalau malam bisa duduk lesehan depan museum sambil ngopi
Irwan Junaidi;2 tahun lalu;positif;Museum Keraton;Lebih bisa mengenal sejarah sumenep lebih jauh
BADRI JAKFAR SHADIQ;2 tahun lalu;positif;Museum Keraton;PKBM Al Jakfari Lembaga Pendidikan Luar Sekolah
